Repository                                          Stars  Created at  Description                                            
cheat/cheat                                         5659   2013        cheat allows you to create and view interactive ch...  
tools/godep                                         5645   2013        dependency tool for go                                 
lib/pq                                              5642   2012        Pure Go Postgres driver for database/sql               
tinygo-org/tinygo                                   5631   2018        Go compiler for small places. Microcontrollers, We...  
360EntSecGroup-Skylar/excelize                      5588   2016        Golang library for reading and writing Microsoft E...  
xo/usql                                             5587   2017        Universal command-line interface for SQL databases     
coredns/coredns                                     5576   2016        CoreDNS is a DNS server that chains plugins            
rqlite/rqlite                                       5573   2014        The lightweight, distributed relational database b...  
aws/aws-sdk-go                                      5563   2014        AWS SDK for the Go programming language.               
zricethezav/gitleaks                                5524   2018        Audit git repos for secrets 🔑                          
pkg/errors                                          5513   2015        Simple error handling primitives                       
google/go-github                                    5503   2013        Go library for accessing the GitHub API                
inlets/inlets                                       5458   2018        Cloud Native Tunnel written in Go                      
kubeless/kubeless                                   5450   2016        Kubernetes Native Serverless Framework                 
simeji/jid                                          5449   2016        json incremental digger                                
open-falcon/falcon-plus                             5447   2016         An open-source and enterprise-level monitoring sy...  
Workiva/go-datastructures                           5438   2014        A collection of useful, performant, and threadsafe...  
upspin/upspin                                       5437   2016        Upspin: A framework for naming everyone's everythi...  
DNSCrypt/dnscrypt-proxy                             5435   2018        dnscrypt-proxy 2 - A flexible DNS proxy, with supp...  
GoesToEleven/GolangTraining                         5431   2015        Training for Golang (go language)                      
robfig/cron                                         5431   2012        a cron library for go                                  
Shopify/sarama                                      5382   2013        Sarama is a Go library for Apache Kafka 0.8, and u...  
gobuffalo/buffalo                                   5361   2014        Rapid Web Development w/ Go                            
smartystreets/goconvey                              5351   2013        Go testing in the browser. Integrates with `go tes...  
GoogleContainerTools/kaniko                         5327   2018        Build Container Images In Kubernetes                   
dapr/dapr                                           5321   2019        Dapr is a portable, event-driven, runtime for buil...  
cloudson/gitql                                      5243   2014        💊 A git query language                                 
yeasy/blockchain_guide                              5240   2016        Introduce blockchain related technologies, from th...  
TykTechnologies/tyk                                 5226   2014        Tyk Open Source API Gateway written in Go              
containerd/containerd                               5207   2015        An open and reliable container runtime                 
linkerd/linkerd2                                    5200   2017        A service mesh for Kubernetes and beyond. Main rep...  
docker/distribution                                 5167   2014        The Docker toolset to pack, ship, store, and deliv...  
thanos-io/thanos                                    5132   2017        Highly available Prometheus setup with long term s...  
goreleaser/goreleaser                               5116   2016        Deliver Go binaries as fast and easily as possible     
containrrr/watchtower                               5109   2015        A process for automating Docker container base ima...  
robertkrimen/otto                                   5108   2012        A JavaScript interpreter in Go (golang)                
jetstack/cert-manager                               5070   2017        Automatically provision and manage TLS certificate...  
gcla/termshark                                      5069   2019        A terminal UI for tshark, inspired by Wireshark        
zserge/lorca                                        5068   2018        Build cross-platform modern desktop apps in Go + H...  
erroneousboat/slack-term                            5063   2016        Slack client for your terminal                         
coreos/flannel                                      5051   2014        flannel is a network fabric for containers, design...  
derailed/k9s                                        5032   2019        🐶 Kubernetes CLI To Manage Your Clusters In Sty...     
go-ego/riot                                         5026   2017        Go Open Source, Distributed, Simple and efficient ...  
kardianos/govendor                                  5003   2015        Go vendor tool that works with the standard vendor...  
flike/kingshard                                     5001   2015        A high-performance MySQL proxy                         
cilium/cilium                                       4990   2015        API-aware Networking and Security using eBPF and X...  
google/seesaw                                       4948   2015        Seesaw v2 is a Linux Virtual Server (LVS) based lo...  
yinghuocho/firefly-proxy                            4948   2014        A proxy software to help circumventing the Great F...  
